Feature,Coefficient
relationship_Wife,0.8141332786756357
occupation_Exec-managerial,0.6803659481673503
occupation_Tech-support,0.6250246394535194
marital.status_Married-civ-spouse,0.589007600418277
sex_Male,0.5037646886953473
occupation_Protective-serv,0.4394376531599008
occupation_Prof-specialty,0.42252547363343224
education.num,0.24976908412903323
marital.status_Married-AF-spouse,0.12305023353083536
occupation_Sales,0.0826507658098366
hours.per.week,0.029845459018909486
native.country_France,0.020277554021072737
age,0.017877368452975145
native.country_Yugoslavia,0.013434956313307473
capital.loss,0.0006060936830053395
capital.gain,0.0003287487348518547
native.country_Holand-Netherlands,0.0
native.country_Italy,-0.012326642984253525
native.country_Canada,-0.013858030816860325
native.country_Honduras,-0.016500255497743962
native.country_Germany,-0.023790027281475112
occupation_Armed-Forces,-0.028175525675815986
native.country_Scotland,-0.02958415932102981
native.country_Hong,-0.03157555859894495
native.country_Hungary,-0.04204962060883573
native.country_Japan,-0.04289104042593371
native.country_England,-0.046466456874932546
native.country_Ireland,-0.046922134837601805
native.country_Thailand,-0.04881622086916869
native.country_Trinadad&Tobago,-0.05820489378243999
native.country_Outlying-US(Guam-USVI-etc),-0.06496282382030887
native.country_Peru,-0.06537507665751084
native.country_Laos,-0.07098764078286054
native.country_Haiti,-0.07248069764678884
native.country_Iran,-0.07356844030058846
workclass_Without-pay,-0.07747635634916204
native.country_Nicaragua,-0.08154341110885234
native.country_Portugal,-0.08362987288277984
native.country_Ecuador,-0.08848066304257952
native.country_Cuba,-0.08979352047636102
native.country_Taiwan,-0.09767128059392614
native.country_Jamaica,-0.10145699666160679
native.country_Poland,-0.1041126508170241
native.country_Philippines,-0.11583184414249433
native.country_Greece,-0.1265414843848387
native.country_Guatemala,-0.12698672489813134
native.country_India,-0.1419210601398308
marital.status_Widowed,-0.16103095901148068
native.country_El-Salvador,-0.16215965458674447
occupation_Craft-repair,-0.16608856789210522
native.country_Dominican-Republic,-0.1803034732558264
native.country_China,-0.20326039587829806
native.country_Vietnam,-0.20489333531288487
occupation_Transport-moving,-0.2130328555840662
occupation_Priv-house-serv,-0.21842599466010798
native.country_Columbia,-0.229239353968338
native.country_United-States,-0.23401510443309592
native.country_South,-0.2452526359942287
native.country_Puerto-Rico,-0.2521847531200235
marital.status_Married-spouse-absent,-0.310414880701487
occupation_Machine-op-inspct,-0.5091680193024674
marital.status_Separated,-0.5123366019113833
workclass_Self-emp-inc,-0.516812388432088
workclass_Private,-0.5837244451967526
marital.status_Never-married,-0.6332699422633241
race_Other,-0.6334562057981794
native.country_Mexico,-0.863392030612169
race_White,-0.8843584497453947
workclass_Local-gov,-0.9423056498312165
race_Black,-0.9951620620654648
occupation_Handlers-cleaners,-0.997811946861996
occupation_Farming-fishing,-1.0475998874059556
relationship_Other-relative,-1.0740238561955826
workclass_State-gov,-1.0766672364220282
race_Asian-Pac-Islander,-1.0844638076172202
workclass_Self-emp-not-inc,-1.1250391800629451
relationship_Not-in-family,-1.133842395025809
occupation_Other-service,-1.2305685260715435
relationship_Unmarried,-1.4284500403549436
relationship_Own-child,-1.881554793568244
